Title,Body,text,language,clean_text
Please beware of this Company,"I have only received one out of the two items ordered.
Reported it to customer services only to be told I had the blouse delivered, when I resent the code to the missing blouse, customer services are just ignoring me.
I am also having difficulty obtaining a returns labels from them as my computer security system will not connect to the returns section, saying it's unsafe and hackers can therefore steal data, I have explained this and requested a returns label be sent to my email address, yet again absolutely ignored.
Please be very careful with this Chinese Company, something is not right when computer software is indicating a unsafe site. Customer Services are not proving to be of ant help at all. Incidentally since dealing with them I am getting phone calls from someone speaking Chinese.","Please beware of this Company I have only received one out of the two items ordered.
Reported it to customer services only to be told I had the blouse delivered, when I resent the code to the missing blouse, customer services are just ignoring me.
I am also having difficulty obtaining a returns labels from them as my computer security system will not connect to the returns section, saying it's unsafe and hackers can therefore steal data, I have explained this and requested a returns label be sent to my email address, yet again absolutely ignored.
Please be very careful with this Chinese Company, something is not right when computer software is indicating a unsafe site. Customer Services are not proving to be of ant help at all. Incidentally since dealing with them I am getting phone calls from someone speaking Chinese.",en,please beware company received one two items ordered reported customer services told blouse delivered resent code missing blouse customer services ignoring also difficulty obtaining returns labels computer security system connect returns section saying unsafe hackers therefore steal data explained requested returns label sent email address yet absolutely ignored please careful chinese company something right computer software indicating unsafe site customer services proving ant help incidentally since dealing getting phone calls someone speaking chinese
I had high hopes of using this company…,"I had high hopes of using this company to completely refurbish my wardrobe, however on the very first order ( after following their size information) everything I bought was far too small. I decided to keep the two items of clothing to re gift to the family but I wanted to send back the shoes as their size 7 was more a size 5/6 so no good for me...there the problems started, I contatacted a customer service rep who seemed very helpful in explaining how to refund the item, I explained that I would need help with the label and he said he would send it to my email...well it never arrived...I have just spent over a hour trying to contact CS again..but they are 'busy' and suggested I try later, to cut a long story short I managed to print off a returns label but unfortunately the Evri CS said the information re the numbers were incorrect...so now I am stuck with shoes I am unable to wear with no help what so ever from Shein....think twice before you use these people because from experience it will cost you time and money....","I had high hopes of using this company… I had high hopes of using this company to completely refurbish my wardrobe, however on the very first order ( after following their size information) everything I bought was far too small. I decided to keep the two items of clothing to re gift to the family but I wanted to send back the shoes as their size 7 was more a size 5/6 so no good for me...there the problems started, I contatacted a customer service rep who seemed very helpful in explaining how to refund the item, I explained that I would need help with the label and he said he would send it to my email...well it never arrived...I have just spent over a hour trying to contact CS again..but they are 'busy' and suggested I try later, to cut a long story short I managed to print off a returns label but unfortunately the Evri CS said the information re the numbers were incorrect...so now I am stuck with shoes I am unable to wear with no help what so ever from Shein....think twice before you use these people because from experience it will cost you time and money....",en,high hopes using company… high hopes using company completely refurbish wardrobe however first order following size information everything bought far small decided keep two items clothing gift family wanted send back shoes size 7 size 56 good methere problems started contatacted customer service rep seemed helpful explaining refund item explained would need help label said would send emailwell never arrivedi spent hour trying contact cs againbut busy suggested try later cut long story short managed print returns label unfortunately evri cs said information numbers incorrectso stuck shoes unable wear help ever sheinthink twice use people experience cost time money
Stop working with SpeedX or provide alternatives.,"Honestly, your logistics leave much to be desired. Until you improve your service and stop working with SpeedX or allow people to choose another available shipping option, many customers will stop buying from your site. It’s a risk—they either steal the packages or don’t care where they leave them, and then it becomes a hassle to request a refund. In the end, the consumer is the one who loses. Truly disappointing!","Stop working with SpeedX or provide alternatives. Honestly, your logistics leave much to be desired. Until you improve your service and stop working with SpeedX or allow people to choose another available shipping option, many customers will stop buying from your site. It’s a risk—they either steal the packages or don’t care where they leave them, and then it becomes a hassle to request a refund. In the end, the consumer is the one who loses. Truly disappointing!",en,stop working speedx provide alternatives honestly logistics leave much desired improve service stop working speedx allow people choose another available shipping option many customers stop buying site ’ risk—they either steal packages ’ care leave becomes hassle request refund end consumer one loses truly disappointing
Non-Receipt of items,"I ordered some workout items, Living in upstate NY - I received shipping confirmations and didn't look at them . until it said my order was delivered. I checked the shipping status and saw they were delivered in NJ, FL, TX and one in the next town over.
Contacted via their messenger multiple times and they said wait for the shipments to arrive ... days later nothing and they aren't giving me a refund","Non-Receipt of items I ordered some workout items, Living in upstate NY - I received shipping confirmations and didn't look at them . until it said my order was delivered. I checked the shipping status and saw they were delivered in NJ, FL, TX and one in the next town over.
Contacted via their messenger multiple times and they said wait for the shipments to arrive ... days later nothing and they aren't giving me a refund",en,nonreceipt items ordered workout items living upstate ny received shipping confirmations didnt look said order delivered checked shipping status saw delivered nj fl tx one next town contacted via messenger multiple times said wait shipments arrive days later nothing arent giving refund
I bought a luggage set.got nothing,I bought a luggage set.and it was delivered fom post office to WRONG ADDRESS i got nothing.talked to post office n gave tracking # n said thats not address that it was on label.dont know how they got my address wrong.no luggage.someone elsevhas it now,I bought a luggage set.got nothing I bought a luggage set.and it was delivered fom post office to WRONG ADDRESS i got nothing.talked to post office n gave tracking # n said thats not address that it was on label.dont know how they got my address wrong.no luggage.someone elsevhas it now,en,bought luggage setgot nothing bought luggage setand delivered fom post office wrong address got nothingtalked post office gave tracking said thats address labeldont know got address wrongno luggagesomeone elsevhas
I ordered a bookshelf and they put the…,I ordered a bookshelf and they put the wrong address on the label so someone is enjoying my merchandise they did not correct the issue or give me a refund I will never order from shein again,I ordered a bookshelf and they put the… I ordered a bookshelf and they put the wrong address on the label so someone is enjoying my merchandise they did not correct the issue or give me a refund I will never order from shein again,en,ordered bookshelf put the… ordered bookshelf put wrong address label someone enjoying merchandise correct issue give refund never order shein
I ODERED FOUR TOPS SUPER LOW QUALITY FROM SHEIN--…,"i ODERED FOUR TOPS SUPER LOW QUALITY ALL WRITTEN IN CHINESE FROM SHEIN N A BOTTLE OF DROPS FROM MedliLISK THAT CAME TO A TOTAL OF 43.00 N AS SOON AS i ORDERED I CANCELLED WITHIN MINUTES, N i DO MEAN MINUTES N BOTH COMPANIES SAID NO REFUNDS!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! I CAN'T AFFORD TO LOSE MONEY!!!!! THESE TWO COMPANIES ARE SCAMES N FRUAD!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! THE GOVERNMENT NEEDS TO SHUT THESE TWO DOWN N GO AFTER THEM!!!!!!!!!!!!!
MARLENE CONROY
16745 HINSDALE Court
MIDDLEBURG HEIGHTS, OHIO 44130
2168356596
NO STATEMENTS CAME WITH PRODUCTS!!!!!!!!!!!!!!!!!!!","I ODERED FOUR TOPS SUPER LOW QUALITY FROM SHEIN--… i ODERED FOUR TOPS SUPER LOW QUALITY ALL WRITTEN IN CHINESE FROM SHEIN N A BOTTLE OF DROPS FROM MedliLISK THAT CAME TO A TOTAL OF 43.00 N AS SOON AS i ORDERED I CANCELLED WITHIN MINUTES, N i DO MEAN MINUTES N BOTH COMPANIES SAID NO REFUNDS!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! I CAN'T AFFORD TO LOSE MONEY!!!!! THESE TWO COMPANIES ARE SCAMES N FRUAD!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! THE GOVERNMENT NEEDS TO SHUT THESE TWO DOWN N GO AFTER THEM!!!!!!!!!!!!!
MARLENE CONROY
16745 HINSDALE Court
MIDDLEBURG HEIGHTS, OHIO 44130
2168356596
NO STATEMENTS CAME WITH PRODUCTS!!!!!!!!!!!!!!!!!!!",en,odered four tops super low quality shein… odered four tops super low quality written chinese shein bottle drops medlilisk came total 4300 soon ordered cancelled within minutes mean minutes companies said refunds cant afford lose money two companies scames fruad government needs shut two go marlene conroy 16745 hinsdale court middleburg heights ohio 44130 2168356596 statements came products
I usually don’t leave reviews but I’m…,I usually don’t leave reviews but I’m so angry and hurt I ordered customized items preparing for my baby’s delivery. I immediately checked my email stating that my package was delivered. I checked the door and my package was GONE! The delivery person took a proof of delivery and took my package. I contacted SHEIN only for them to send over the proof of package and not take my side. I have spent so much money with them and NEVER will order from them again. They are not for their customers. All I want is a resolution and I’m left with NOTHING! Why steal something that you can not benefit from. My baby names are on everything I purchased. Now I’ll be taking legal further actions.,I usually don’t leave reviews but I’m… I usually don’t leave reviews but I’m so angry and hurt I ordered customized items preparing for my baby’s delivery. I immediately checked my email stating that my package was delivered. I checked the door and my package was GONE! The delivery person took a proof of delivery and took my package. I contacted SHEIN only for them to send over the proof of package and not take my side. I have spent so much money with them and NEVER will order from them again. They are not for their customers. All I want is a resolution and I’m left with NOTHING! Why steal something that you can not benefit from. My baby names are on everything I purchased. Now I’ll be taking legal further actions.,en,usually ’ leave reviews ’ m… usually ’ leave reviews ’ angry hurt ordered customized items preparing baby ’ delivery immediately checked email stating package delivered checked door package gone delivery person took proof delivery took package contacted shein send proof package take side spent much money never order customers want resolution ’ left nothing steal something benefit baby names everything purchased ’ taking legal actions
Genial!!!,Genial!!!!!!!,Genial!!! Genial!!!!!!!,en,genial genial
FOUR plastic bags for a gym band!,"4 plastic bags for a gym band.
Shein really don't care about the environment!
I already knew this, but now it's the last straw and with this I see myself obliged to no longer buy from Shein!
It would be fantastic if more people realized the damage that all this does and the (obvious) indifference of their part.","FOUR plastic bags for a gym band! 4 plastic bags for a gym band.
Shein really don't care about the environment!
I already knew this, but now it's the last straw and with this I see myself obliged to no longer buy from Shein!
It would be fantastic if more people realized the damage that all this does and the (obvious) indifference of their part.",en,four plastic bags gym band 4 plastic bags gym band shein really dont care environment already knew last straw see obliged longer buy shein would fantastic people realized damage obvious indifference part
