Titre,Texte,Etoiles,text,label,language,clean_text
Parfois il manque des articles où on…,"Parfois il manque des articles où on ouvre mes colis
Le service client me demande 90 justificatifs sachant que je leur dis ne rien avoir reçu

Mais dans l'ensemble je suis ravis",4,"Parfois il manque des articles où on… Parfois il manque des articles où on ouvre mes colis
Le service client me demande 90 justificatifs sachant que je leur dis ne rien avoir reçu

Mais dans l'ensemble je suis ravis",1,fr,parfois manque articles où on… parfois manque articles où ouvre colis service client demande 90 justificatifs sachant dis rien avoir reçu lensemble ravis
Je commande depuis un moment et je…,Je commande depuis un moment et je suis jamais déçus,5,Je commande depuis un moment et je… Je commande depuis un moment et je suis jamais déçus,1,fr,commande depuis moment je… commande depuis moment jamais déçus
Conforme à mes attentes,"Commande conforme à mes attentes, livraison rapide",5,"Conforme à mes attentes Commande conforme à mes attentes, livraison rapide",1,fr,conforme attentes commande conforme attentes livraison rapide
Rapidité dans l’envoi des articles…,"Rapidité dans l’envoi des articles commandé.
Rapport qualité prix top de chez top
Avec tous mes remerciements",5,"Rapidité dans l’envoi des articles… Rapidité dans l’envoi des articles commandé.
Rapport qualité prix top de chez top
Avec tous mes remerciements",1,fr,rapidité ’ envoi articles… rapidité ’ envoi articles commandé rapport qualité prix top chez top tous remerciements
Les affaires sont de bonne qualité et…,Les affaires sont de bonne qualité et taille très bien les prix sont raisonnable et la livraison impeccable j aime cette entreprise je n ai jamais été déçue,5,Les affaires sont de bonne qualité et… Les affaires sont de bonne qualité et taille très bien les prix sont raisonnable et la livraison impeccable j aime cette entreprise je n ai jamais été déçue,1,fr,affaires bonne qualité et… affaires bonne qualité taille très bien prix raisonnable livraison impeccable aime cette entreprise jamais déçue
La livraison et rapidité tout est…,"La livraison et rapidité tout est super!
J’ai mis une étoile en moins car les codes promotions étaient plus avantageux avant, il n’y avait pas autant de limitations. Mis à part ça je n’ai rien à redire 😁😁. Merci beaucoup",4,"La livraison et rapidité tout est… La livraison et rapidité tout est super!
J’ai mis une étoile en moins car les codes promotions étaient plus avantageux avant, il n’y avait pas autant de limitations. Mis à part ça je n’ai rien à redire 😁😁. Merci beaucoup",1,fr,livraison rapidité tout est… livraison rapidité tout super ’ mis étoile moins car codes promotions plus avantageux avant ’ autant limitations mis part ça ’ rien redire 😁😁 merci beaucoup
Toujours satisfaite de mes commandes et…,Toujours satisfaite de mes commandes et retours avec un remboursement sans soucis,5,Toujours satisfaite de mes commandes et… Toujours satisfaite de mes commandes et retours avec un remboursement sans soucis,1,fr,toujours satisfaite commandes et… toujours satisfaite commandes retours remboursement sans soucis
Commande dite livrée mais rien reçu,Commande dite livrée mais rien reçu. La photo de ma boîte aux lettres ne correspond pas à la mienne. Je contacte shein on me dit de s'adresser au livreur mais on ne s'est même pas quel organisme. Très déçue et 50 euros de perdu. Je ne commanderai plus chez eux.,1,Commande dite livrée mais rien reçu Commande dite livrée mais rien reçu. La photo de ma boîte aux lettres ne correspond pas à la mienne. Je contacte shein on me dit de s'adresser au livreur mais on ne s'est même pas quel organisme. Très déçue et 50 euros de perdu. Je ne commanderai plus chez eux.,0,fr,commande dite livrée rien reçu commande dite livrée rien reçu photo boîte lettres correspond mienne contacte shein dit sadresser livreur sest quel organisme très déçue 50 euros perdu commanderai plus chez
J ai pris une très jolie robe mais,"J ai pris une très jolie robe mais , seulement sur la photo .
Elle n’ est en réalité pas du tout conforme .
Un tissu moche avec une transparence ++++. Taille inscrite en petit S , petit M ou petit L sauf que que je fait un 38 j ai prix un petit L mais vraiment c est égal à un S .
Vraiment très déçu.
Dommage que nous puissions pas mettre une photo sur cette avis .",1,"J ai pris une très jolie robe mais J ai pris une très jolie robe mais , seulement sur la photo .
Elle n’ est en réalité pas du tout conforme .
Un tissu moche avec une transparence ++++. Taille inscrite en petit S , petit M ou petit L sauf que que je fait un 38 j ai prix un petit L mais vraiment c est égal à un S .
Vraiment très déçu.
Dommage que nous puissions pas mettre une photo sur cette avis .",0,fr,pris très jolie robe pris très jolie robe seulement photo ’ réalité tout conforme tissu moche transparence taille inscrite petit petit petit sauf fait 38 prix petit vraiment égal vraiment très déçu dommage puissions mettre photo cette avis
Bonjour malgré que j’aime le site mais…,Bonjour malgré que j’aime le site mais il manquait 2articles de ma commande que j ai acheté et qu’ils ont disparu du total de ma commande que je suis sur que j ai payé et qu’ils étaient lors de mon paiement mais par la suite j ai rien trouvé et le prix de mes articles a gonflé pour combler le manque je suis déçue je ferai plus attention la prochaine fois,2,Bonjour malgré que j’aime le site mais… Bonjour malgré que j’aime le site mais il manquait 2articles de ma commande que j ai acheté et qu’ils ont disparu du total de ma commande que je suis sur que j ai payé et qu’ils étaient lors de mon paiement mais par la suite j ai rien trouvé et le prix de mes articles a gonflé pour combler le manque je suis déçue je ferai plus attention la prochaine fois,0,fr,bonjour malgré ’ aime site mais… bonjour malgré ’ aime site manquait 2articles commande acheté ’ disparu total commande payé ’ lors paiement suite rien trouvé prix articles gonflé combler manque déçue ferai plus attention prochaine fois
